as_of_date,pair,tenor,quote_type,value,ticker,field,source,snapped_at
2026-09-18,EURSEK,2M,BF25,0.13,EURSEK25B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2M,RR10,0.765,EURSEK10R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2M,RR25,0.405,EURSEK25R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2W,ATM,5.3475,EURSEKV2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2W,BF10,0.33,EURSEK10B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2W,BF25,0.1,EURSEK25B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2W,RR10,0.5025,EURSEK10R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2W,RR25,0.2675,EURSEK25R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,3M,ATM,5.5,EURSEKV3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,3M,BF10,0.45,EURSEK10B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,3M,BF25,0.14,EURSEK25B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,3M,RR10,0.915,EURSEK10R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,3M,RR25,0.485,EURSEK25R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,6M,ATM,5.56,EURSEKV6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,6M,BF10,0.5625,EURSEK10B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,6M,BF25,0.175,EURSEK25B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,6M,RR10,1.055,EURSEK10R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,6M,RR25,0.56,EURSEK25R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,9M,ATM,5.7175,EURSEKV9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,9M,BF10,0.6825,EURSEK10B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,9M,BF25,0.2075,EURSEK25B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,9M,RR10,1.17,EURSEK10R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,9M,RR25,0.6025,EURSEK25R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,ON,ATM,3.885,EURSEKVON BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,ON,BF10,0.26,EURSEK10BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,ON,BF25,0.0775,EURSEK25BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,ON,RR10,0.295,EURSEK10RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,ON,RR25,0.1625,EURSEK25RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1M,ATM,4.645,EURUSDV1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1M,BF10,0.425,EURUSD10B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1M,BF25,0.1225,EURUSD25B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1M,RR10,-0.36,EURUSD10R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1M,RR25,-0.1925,EURUSD25R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1W,ATM,4.2775,EURUSDV1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1W,BF10,0.3975,EURUSD10B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1W,BF25,0.1175,EURUSD25B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1W,RR10,-0.5675,EURUSD10R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1W,RR25,-0.3125,EURUSD25R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURUSD,1Y,ATM,6.18,EURUSDV1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
